               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 150,            0.045517,            0.051126,                   0,             0.87469,               0.875,             0.92877,             0.45552,            0.046012,             0.05285,                   0,           0.0063122,           0.0063122,           0.0063122
                 151,            0.046526,            0.046269,                   0,             0.71716,                0.75,             0.84705,             0.38386,            0.067409,            0.059934,                   0,           0.0062875,           0.0062875,           0.0062875
                 152,            0.053291,            0.047882,                   0,             0.71716,                0.75,             0.84705,             0.38386,            0.067409,            0.059934,                   0,           0.0062628,           0.0062628,           0.0062628
                 153,            0.055807,            0.047757,                   0,              0.8892,                0.85,             0.89814,              0.4745,            0.048964,            0.052484,                   0,            0.006238,            0.006238,            0.006238
                 154,            0.040972,            0.061105,                   0,              0.8892,                0.85,             0.89814,              0.4745,            0.048964,            0.052484,                   0,           0.0062132,           0.0062132,           0.0062132
                 155,             0.04398,            0.058251,                   0,             0.86137,               0.875,             0.92565,             0.46082,            0.042094,             0.05454,                   0,           0.0061885,           0.0061885,           0.0061885
                 156,             0.04565,            0.065727,                   0,             0.86137,               0.875,             0.92565,             0.46082,            0.042094,             0.05454,                   0,           0.0061637,           0.0061637,           0.0061637
                 157,            0.044532,            0.045075,                   0,             0.78448,                 0.8,             0.90467,             0.49951,            0.048422,            0.055769,                   0,            0.006139,            0.006139,            0.006139
                 158,            0.041484,            0.060154,                   0,             0.78448,                 0.8,             0.90467,             0.49951,            0.048422,            0.055769,                   0,           0.0061142,           0.0061142,           0.0061142
                 159,            0.041003,             0.04541,                   0,              0.8919,                 0.9,             0.94697,             0.39961,            0.048116,            0.055546,                   0,           0.0060895,           0.0060895,           0.0060895
                 160,            0.041398,            0.062231,                   0,              0.8919,                 0.9,             0.94697,             0.39961,            0.048116,            0.055546,                   0,           0.0060647,           0.0060647,           0.0060647
                 161,            0.041374,             0.05854,                   0,             0.90226,             0.92315,             0.96496,             0.50894,            0.042808,            0.053726,                   0,             0.00604,             0.00604,             0.00604
                 162,            0.043124,            0.056661,                   0,             0.90226,             0.92315,             0.96496,             0.50894,            0.042808,            0.053726,                   0,           0.0060152,           0.0060152,           0.0060152
                 163,            0.040211,            0.047907,                   0,              0.7106,             0.67526,             0.80953,             0.23108,            0.058497,             0.06044,                   0,           0.0059905,           0.0059905,           0.0059905
                 164,            0.048522,            0.063046,                   0,              0.7106,             0.67526,             0.80953,             0.23108,            0.058497,             0.06044,                   0,           0.0059658,           0.0059658,           0.0059658
                 165,            0.046936,             0.05545,                   0,             0.94619,              0.8792,             0.94839,             0.45303,             0.04564,            0.050978,                   0,            0.005941,            0.005941,            0.005941
                 166,            0.042017,            0.046933,                   0,             0.94619,              0.8792,             0.94839,             0.45303,             0.04564,            0.050978,                   0,           0.0059163,           0.0059163,           0.0059163
                 167,            0.045178,            0.057978,                   0,             0.89831,               0.925,             0.96974,             0.44786,            0.043721,            0.051986,                   0,           0.0058915,           0.0058915,           0.0058915
                 168,            0.034597,            0.053406,                   0,             0.89831,               0.925,             0.96974,             0.44786,            0.043721,            0.051986,                   0,           0.0058668,           0.0058668,           0.0058668
